Number One,Number Two,Their GCD,Time Spent (nanoseconds)
486,833,1,200900
723,584,1,243000
848,106,106,48700
347,223,1,80200
106,47,1,38600
657,373,1,148800
771,737,1,358900
18,799,1,20300
601,573,1,124400
38,947,1,12700
306,437,1,70900
546,534,6,150700
914,245,1,59200
654,608,2,165500
10,774,2,13400
231,81,3,26200
874,849,1,215200
277,266,1,68800
488,214,2,46700
808,667,1,171000
868,476,28,142300
382,136,2,34800
972,69,3,22000
282,31,1,11900
361,958,1,78700
0,343,0,1200
291,267,3,52100
939,619,1,130900
757,669,1,143400
937,313,1,57600
26,724,2,8000
418,875,1,84700
423,732,3,85900
835,54,1,13000
517,695,1,106500
386,395,1,76600
333,142,1,27000
266,694,2,47800
532,131,1,25700
819,112,7,26400
500,345,5,69300
932,937,1,203700
110,28,2,10900
33,623,1,9100
632,747,1,139700
305,350,5,59800
774,565,1,120100
245,821,1,45500
343,772,1,71500
289,76,1,17000
318,935,1,69600
806,493,1,107100
928,715,1,161100
194,632,2,36900
875,577,1,127500
240,181,1,37400
801,987,3,178600
550,62,2,16200
613,328,1,65000
769,916,1,165700
824,549,1,126100
19,363,1,19500
589,980,1,145100
755,299,1,57200
176,512,16,35600
691,393,1,78100
528,850,2,117600
675,990,45,154000
612,877,1,135000
659,340,1,68600
238,911,1,42700
800,498,2,108900
752,558,2,125000
146,751,1,27000
260,532,4,52000
371,723,1,74500
147,744,3,32000
989,816,1,187900
638,879,1,139500
598,72,2,19100
702,682,2,160600
4,884,4,4600
973,305,1,53900
339,988,1,65600
227,635,1,37800
358,543,1,65500
707,677,1,140800
581,624,1,122800
303,50,1,12200
525,714,21,109900
453,749,1,86600
341,210,1,39200
552,158,2,31300
172,209,1,30600
235,758,1,39200
566,104,2,20200
946,945,1,202100
2,876,2,3600
321,240,3,44700
169,823,1,28200
187,172,1,30000
798,361,19,68600
810,957,3,170900
717,263,1,44300
720,261,9,53100
510,703,1,106000
831,291,3,65300
839,776,1,169000
396,394,2,84200
455,397,1,77900
203,206,1,36200
730,264,2,51300
473,683,1,98300
588,74,2,20800
416,815,1,86000
378,722,2,77500
320,488,8,64700
695,575,5,123800
535,442,1,107900
6,843,3,4600
786,199,1,36100
773,157,1,29400
765,648,9,152400
302,91,1,18900
49,808,1,12300
249,205,1,37600
409,960,1,89300
863,812,1,184800
733,485,1,104700
923,609,1,136400
39,739,1,10000
301,848,1,61300
250,706,2,49700
505,316,1,73700
872,787,1,203400
842,515,1,117500
403,300,1,65500
470,355,5,71500
429,439,1,96200
292,906,2,61200
887,951,1,216600
20,87,1,10300
141,215,1,30900
449,497,1,97500
65,375,5,16700
893,665,19,157400
295,633,1,62000
534,301,1,63100
309,466,1,66100
297,63,9,18500
366,228,6,49800
958,869,1,211000
300,664,4,74100
498,700,2,129100
648,713,1,149300
582,502,2,107000
837,17,1,7600
466,922,2,98300
474,166,2,34100
921,844,1,190700
408,468,12,88400
307,917,1,55400
293,220,1,39700
479,138,1,40800
134,285,1,29200
199,203,1,37400
137,523,1,26400
87,769,1,18600
16,839,1,6300
225,460,5,48000
9,481,1,4500
524,473,1,103100
178,149,1,28300
464,407,1,86500
56,90,2,17500
949,940,1,220800
627,535,1,118000
867,835,1,192500
879,754,1,170000
998,999,1,231700
611,685,1,141000
894,601,1,132800
541,389,1,84400
742,372,2,99800
571,258,1,51300
139,566,1,27700
427,152,1,32400
388,79,1,17600
69,995,1,16400
490,522,2,115000
370,641,1,83400
359,501,1,75100
697,173,1,34400
70,273,7,18600
881,360,1,82200
284,909,1,58200
751,971,1,197600
164,883,1,44500
162,143,1,39700
133,427,7,38800
435,297,3,104700
772,318,2,74600
590,77,1,24000
338,851,1,90100
527,150,1,47500
196,238,14,48900
174,0,0,1100
891,540,27,162800
476,144,4,56800
221,845,13,47700
680,762,2,191200
402,243,3,68100
350,615,5,95100
72,890,2,24900
125,738,1,32000
640,941,1,175700
36,586,2,18300
530,1,1,5900
796,894,2,196700
644,57,1,16500
54,98,2,14900
328,16,8,6800
735,517,1,114000
363,770,11,75700
264,490,2,55300
701,224,1,55700
322,187,1,34600
993,455,1,91000
59,541,1,11900
766,688,2,143600
136,561,17,26600
963,868,1,189300
258,698,2,45200
311,4,1,3600
871,905,1,185700
456,794,2,105000
608,307,1,58400
98,378,14,23100
761,447,1,91400
177,370,1,33600
600,385,5,84200
547,853,1,114900
718,414,2,83600
828,597,3,128800
902,281,1,52400
865,46,1,10900
913,736,1,162600
411,778,1,197200
211,342,1,99300
132,756,12,75600
805,819,7,386100
109,842,1,38600
762,128,2,54600
13,896,1,10900
685,797,1,320800
883,967,1,340600
606,115,1,43800
975,977,1,282800
206,557,1,35900
383,259,1,43700
90,155,5,19900
351,323,1,59700
540,658,2,123000
635,938,1,117200
621,424,1,76200
785,239,1,37100
163,269,1,25300
727,923,1,134700
728,168,56,32800
332,358,2,56000
737,411,1,72100
161,810,1,30800
918,773,1,147800
114,156,6,23400
220,496,4,39300
489,673,1,88300
531,859,1,96400
399,429,3,72900
197,511,1,31700
207,983,1,34300
150,578,2,27400
392,831,1,71400
413,30,1,8600
776,832,8,151000
631,725,1,119500
971,310,1,53200
123,550,1,23600
670,196,2,34300
944,652,4,130000
495,889,1,111600
31,801,1,9000
304,92,4,19400
915,135,15,25100
724,356,4,64900
792,919,1,164000
239,618,1,41700
5,528,1,4200
246,34,2,9200
78,539,1,16800
167,244,1,28200
381,2,1,3100
111,813,3,19300
886,637,1,125100
791,686,7,134500
745,296,1,51500
818,768,2,151000
984,731,1,155900
884,122,2,24700
58,432,2,14900
431,465,1,76600
484,109,1,20100
763,710,1,134200
467,699,1,84300
217,893,1,35800
919,891,1,177500
129,197,1,22400
901,611,1,115000
329,489,1,54300
45,892,1,10500
567,167,1,28600
895,559,1,106000
804,996,12,160900
71,221,1,13800
441,102,3,20900
693,521,1,98800
579,814,1,111700
553,470,1,88500
689,284,1,49200
405,390,15,75100
748,946,22,151000
477,140,1,27400
325,516,1,60700
269,171,1,28500
182,458,2,31400
634,329,1,58300
597,531,3,101400
15,371,1,6000
149,8,1,4400
857,312,1,56900
626,913,1,120300
803,438,73,82200
929,474,1,89800
278,18,2,6600
185,12,1,5200
193,260,1,34000
726,148,2,28300
620,569,1,108800
447,834,3,85200
348,86,2,19500
962,193,1,47100
507,899,1,101700
861,727,1,150000
518,107,1,21300
222,719,1,38400
458,268,2,49600
443,188,1,32900
759,579,3,115500
812,524,4,108300
711,955,1,145100
545,684,1,113300
992,563,1,113300
684,235,1,44700
576,347,1,67800
195,75,15,17100
