Number One,Number Two,Their GCD,Time Spent (nanoseconds)
518,107,1,10800
222,719,1,18700
458,268,2,22800
443,188,1,13900
759,579,3,53600
812,524,4,50100
711,955,1,69600
545,684,1,52900
992,563,1,50000
684,235,1,18100
576,347,1,31700
195,75,15,7800
213,417,3,18300
80,67,1,6300
672,649,1,61600
870,838,2,98400
145,840,5,13200
572,924,44,52400
731,759,1,65300
575,320,5,28800
509,229,1,19900
813,406,1,34300
504,233,1,18300
817,487,1,42900
252,434,14,20500
825,765,15,69800
389,863,1,33500
219,461,1,17700
821,974,1,75100
421,802,1,37200
977,950,1,84400
299,828,23,24400
953,100,1,8500
424,964,4,34100
890,55,5,6300
85,822,1,7800
97,99,1,8700
11,671,11,2100
511,784,7,47500
653,178,1,13100
551,154,1,12700
754,403,13,33000
478,807,1,85000
558,704,2,148400
485,918,1,127700
439,811,1,103900
930,590,10,165700
794,659,1,163600
308,324,4,71800
372,761,1,87800
298,655,1,76000
208,707,1,70000
639,190,1,43800
41,364,1,11600
52,302,2,12500
482,41,1,11000
587,207,1,42200
950,184,2,43900
491,968,1,108100
451,803,11,123900
573,841,1,132900
997,939,1,234100
829,433,1,112700
991,133,1,25600
223,864,1,48800
637,653,1,139200
40,593,1,9800
253,335,1,45900
767,729,1,142400
878,735,1,144300
722,526,2,102300
356,482,2,67000
564,530,2,104200
666,992,2,134300
42,42,42,1200
376,743,1,70700
926,202,2,37700
854,942,2,171400
374,525,1,72300
964,806,2,162300
432,52,4,14200
62,616,2,14800
465,191,1,36300
385,914,1,74300
390,450,30,77500
513,798,57,102200
462,457,1,90200
82,130,2,17300
912,907,1,189100
710,249,1,53600
974,428,2,91300
951,242,1,48400
104,860,4,23200
446,121,1,25100
807,33,3,9100
127,186,1,26800
503,775,1,107100
360,362,2,72600
706,651,1,141000
788,416,4,137100
126,349,1,16200
251,646,1,19000
244,604,4,19600
471,315,3,24700
959,636,1,60300
357,817,1,33300
793,331,1,31300
663,926,1,61900
212,900,4,17500
262,886,2,21600
555,548,1,49900
876,681,3,67200
628,379,1,33800
99,519,3,9900
880,928,16,87500
314,644,2,27500
393,32,1,5100
35,837,1,4500
563,58,1,5900
827,600,1,54300
8,847,1,2500
864,533,1,53500
236,494,2,18000
73,921,1,7000
978,419,1,35300
529,94,1,8400
677,952,1,66600
442,382,2,32300
232,288,8,20300
906,510,6,50600
856,279,1,24300
625,904,1,60600
92,398,2,9200
342,970,2,30900
560,376,8,34700
779,696,1,65700
415,218,1,16700
802,574,2,48800
780,431,1,37000
536,603,67,63200
181,204,1,16800
811,234,1,17400
678,783,3,64700
270,153,9,13700
920,873,1,82800
263,764,1,25100
340,479,1,34300
362,975,1,34700
994,520,2,54400
317,728,1,32000
369,462,3,38200
584,252,4,22800
522,871,1,56100
179,402,1,16300
892,656,4,68000
175,475,25,17000
27,357,3,3800
673,504,1,47300
838,555,1,55300
662,948,2,68500
908,231,1,23600
665,571,1,59800
32,993,1,5400
286,795,1,28200
922,369,1,39400
493,472,1,44200
48,508,4,7000
407,672,1,41500
781,908,1,76400
209,95,19,9100
674,83,1,8100
603,116,1,11000
756,915,3,76400
492,564,12,46600
151,544,1,13900
226,265,1,17300
404,20,4,3100
512,365,1,31400
438,634,2,42200
254,495,1,19700
502,51,1,5600
268,777,1,20800
419,208,1,16200
515,217,1,18800
746,622,2,59700
75,314,1,7100
243,786,3,21600
131,117,1,10800
46,478,2,4500
649,984,1,63300
271,89,1,8600
616,959,7,61200
184,804,4,14900
324,146,2,12800
116,687,1,10500
965,459,1,40600
401,620,1,38600
448,78,2,8300
667,469,1,40600
749,66,1,5900
986,583,1,52700
25,110,5,3800
533,396,1,36400
51,321,3,5300
859,222,1,16500
687,705,3,64600
142,779,1,12700
544,400,16,34200
941,602,1,55100
885,660,15,63600
985,902,1,83100
171,420,3,14200
609,752,1,55000
180,830,10,14200
165,254,1,13800
159,120,3,10700
210,426,6,17900
117,513,9,10700
683,13,1,2200
323,410,1,27300
288,387,9,25200
866,882,2,87600
364,161,7,15300
652,701,1,63800
315,151,1,14800
836,332,4,31500
782,936,2,79800
961,183,1,14400
412,529,1,37100
668,211,1,18100
437,200,1,18000
849,972,3,95200
218,598,2,23000
230,872,2,20300
1,640,1,2400
434,712,2,42000
694,730,2,73500
630,139,1,15800
622,721,1,62600
615,255,15,21300
617,989,1,60600
124,587,1,13200
287,253,1,21600
188,750,2,16900
784,789,1,83200
122,788,2,14100
768,175,1,16400
740,298,2,25400
156,286,26,13600
732,486,6,47700
224,162,2,15600
496,134,2,11100
37,976,1,4600
882,344,2,33700
384,22,2,5400
820,718,2,74900
955,334,1,34600
783,127,1,12800
319,910,1,33700
969,454,1,49100
216,415,1,20300
797,997,1,83900
334,760,2,31000
261,568,1,25200
398,119,1,11400
410,48,2,6100
976,709,1,70900
593,944,1,62900
869,113,1,12100
327,160,1,14200
330,854,2,31100
472,956,4,41500
656,49,1,5800
191,96,1,9100
888,621,3,75300
747,662,1,58900
152,444,4,14000
81,836,1,8000
50,201,1,4800
968,856,8,81400
521,963,1,50800
655,195,5,19000
406,436,2,39200
7,716,1,3900
12,870,6,3800
346,934,2,31300
64,169,1,6900
990,708,6,73000
664,180,4,16900
454,126,2,12100
909,745,1,73800
3,820,1,2200
457,628,1,44200
770,661,1,66100
135,881,1,11900
205,399,1,17000
699,477,3,44500
826,666,2,62700
143,753,1,26500
391,771,1,31900
716,553,1,51200
34,612,34,6000
927,585,9,60600
414,702,18,38900
93,693,3,9800
153,499,1,12400
636,642,6,66900
119,248,1,13200
952,45,1,5900
661,818,1,67700
140,165,5,15400
846,668,2,67900
645,562,1,54600
775,734,1,70900
355,226,1,21200
257,125,1,10500
580,359,1,35800
43,679,1,5100
591,354,3,35400
795,741,3,74200
189,425,1,16100
966,405,3,38500
53,998,1,7400
296,164,4,14600
844,189,1,15900
936,691,1,73900
787,878,1,80700
604,59,1,7300
497,994,497,48700
331,392,1,29300
643,236,1,22200
681,720,3,67600
982,626,2,60000
586,790,2,53000
832,538,2,50600
313,866,1,30100
700,163,1,16500
118,15,1,3000
349,386,1,30300
519,56,1,6300
242,927,1,19400
108,560,4,12800
583,257,1,24000
202,448,2,21200
422,36,2,5300
241,10,1,2800
200,567,1,17600
57,132,3,8300
725,857,1,74300
739,147,1,13400
267,467,1,21900
624,304,16,26700
170,35,5,5000
713,19,1,2800
682,216,2,19600
112,796,4,10300
960,137,1,13400
121,103,1,9000
316,287,1,25800
910,65,65,7700
353,82,1,7800
148,230,2,13400
853,588,1,53100
548,337,1,28000
933,413,1,34700
945,6,3,2100
120,73,1,7300
47,981,1,5700
76,70,2,6500
690,435,15,41100
272,638,2,20800
605,278,1,23900
938,592,2,55900
101,594,1,10100
917,306,1,26900
508,982,2,44300
520,675,5,48600
743,527,1,46700
21,85,1,3000
734,176,2,15000
285,341,1,23900
115,61,1,6000
650,925,25,62800
91,507,13,9000
996,663,3,61400
22,480,2,3800
822,123,3,10900
957,827,1,78500
741,897,39,70300
708,60,12,6600
173,509,1,13300
14,546,14,2900
89,289,1,7200
557,617,1,51300
850,954,2,79800
425,352,1,31000
523,464,1,41400
610,383,1,35200
28,901,1,4200
256,250,2,19700
365,629,1,33100
84,227,1,7900
595,606,1,55500
719,767,1,66400
840,421,1,40400
647,930,1,60500
543,43,1,4900
712,232,8,20300
578,887,1,54900
905,374,1,31400
276,294,6,21500
280,780,20,22800
63,319,1,5900
335,888,1,30300
233,384,1,18300
841,733,1,70900
940,986,2,89900
692,880,4,66800
592,275,1,24700
400,809,1,34900
190,755,5,14900
651,931,7,59900
61,404,1,5800
450,599,1,41200
942,251,1,19100
428,124,4,11800
312,38,2,5500
924,141,3,13500
954,283,1,24600
95,491,1,7600
760,5,5,1900
67,639,1,6100
744,129,3,12500
29,198,1,3800
789,367,1,29600
23,108,1,4100
30,330,30,4800
851,159,1,13500
714,237,3,20500
379,965,1,32100
574,27,1,3600
956,969,1,90500
475,241,1,20300
373,292,1,25400
275,346,1,21200
899,551,29,52900
539,351,1,29300
570,697,1,54600
925,757,1,73000
568,678,2,69000
426,545,1,39900
445,627,1,39600
903,591,3,58600
569,547,1,49600
983,979,1,98900
843,613,1,61400
394,898,2,37900
283,973,1,25400
753,111,3,9600
375,80,5,7900
234,500,2,21400
506,650,2,49700
549,105,3,9200
935,689,1,71400
516,920,4,52600
198,219,3,15900
562,37,1,4300
420,64,4,7200
852,518,2,51600
237,170,1,15600
704,607,1,61900
344,256,8,25800
107,537,1,11100
183,781,1,16800
703,145,1,13200
68,338,2,6900
192,271,1,15100
105,556,1,9900
337,643,1,27900
809,654,1,63800
686,262,2,20700
113,630,1,10800
736,401,1,37600
436,483,1,38600
947,978,1,95300
715,791,1,70700
904,418,2,37300
705,348,3,32400
907,380,1,32700
556,742,2,55100
