Number One,Number Two,Their GCD,Time Spent (nanoseconds)
518,107,1,2900
222,719,1,2900
458,268,2,1800
443,188,1,3100
759,579,3,2700
812,524,4,2600
711,955,1,2500
545,684,1,2500
992,563,1,2600
684,235,1,3200
576,347,1,2900
195,75,15,1300
213,417,3,1800
80,67,1,2200
672,649,1,2600
870,838,2,2500
145,840,5,2600
572,924,44,1500
731,759,1,2900
575,320,5,2300
509,229,1,2800
813,406,1,1700
504,233,1,2500
817,487,1,2900
252,434,14,1600
825,765,15,1900
389,863,1,2600
219,461,1,2500
821,974,1,2500
421,802,1,2500
977,950,1,2600
299,828,23,1800
953,100,1,3100
424,964,4,2300
890,55,5,2300
85,822,1,2700
97,99,1,1700
11,671,11,1700
511,784,7,2600
653,178,1,2000
551,154,1,2100
754,403,13,2100
478,807,1,3100
558,704,2,2900
485,918,1,2900
439,811,1,3200
930,590,10,2100
794,659,1,3000
308,324,4,2200
372,761,1,2800
298,655,1,2500
208,707,1,2200
639,190,1,2300
41,364,1,3100
52,302,2,2900
482,41,1,2400
587,207,1,2600
950,184,2,3500
491,968,1,2400
451,803,11,2300
573,841,1,2800
997,939,1,2800
829,433,1,2500
991,133,1,2900
223,864,1,2800
637,653,1,2500
40,593,1,2700
253,335,1,2600
767,729,1,2500
878,735,1,3400
722,526,2,2700
356,482,2,2300
564,530,2,2300
666,992,2,2300
42,42,42,800
376,743,1,2400
926,202,2,2700
854,942,2,2300
374,525,1,2200
964,806,2,2900
432,52,4,2300
62,616,2,2700
465,191,1,2900
385,914,1,2300
390,450,30,1700
513,798,57,2100
462,457,1,1900
82,130,2,1600
912,907,1,1900
710,249,1,2600
974,428,2,2500
951,242,1,3000
104,860,4,2100
446,121,1,16500
807,33,3,2300
127,186,1,2600
503,775,1,2600
360,362,2,1700
706,651,1,2900
788,416,4,2600
126,349,1,2800
251,646,1,2900
244,604,4,2000
471,315,3,1700
959,636,1,2300
357,817,1,2900
793,331,1,3500
663,926,1,3000
212,900,4,2800
262,886,2,2100
555,548,1,2300
876,681,3,2100
628,379,1,2800
99,519,3,3100
880,928,16,2000
314,644,2,2500
393,32,1,2700
35,837,1,2700
563,58,1,2400
827,600,1,2900
8,847,1,2300
864,533,1,2500
236,494,2,2500
73,921,1,2900
978,419,1,2400
529,94,1,3600
677,952,1,3300
442,382,2,2700
232,288,8,2600
906,510,6,2700
856,279,1,3200
625,904,1,3100
92,398,2,2300
342,970,2,2600
560,376,8,1800
779,696,1,2600
415,218,1,2600
802,574,2,2500
780,431,1,2800
536,603,67,1600
181,204,1,2600
811,234,1,2700
678,783,3,2500
270,153,9,1900
920,873,1,2700
263,764,1,2800
340,479,1,2700
362,975,1,3100
994,520,2,2400
317,728,1,2600
369,462,3,1900
584,252,4,2100
522,871,1,2100
179,402,1,2800
892,656,4,2400
175,475,25,1300
27,357,3,2300
673,504,1,2200
838,555,1,2500
662,948,2,2500
908,231,1,2400
665,571,1,6700
32,993,1,2400
286,795,1,3300
922,369,1,1800
493,472,1,2500
48,508,4,2100
407,672,1,2900
781,908,1,3200
209,95,19,1600
674,83,1,2700
603,116,1,2900
756,915,3,2600
492,564,12,2400
151,544,1,2400
226,265,1,2600
404,20,4,2200
512,365,1,2500
438,634,2,2600
254,495,1,2400
502,51,1,2600
268,777,1,2600
419,208,1,1800
515,217,1,2300
746,622,2,2300
75,314,1,2900
243,786,3,2700
131,117,1,2500
46,478,2,2500
649,984,1,2700
271,89,1,2300
616,959,7,2100
184,804,4,2400
324,146,2,2100
116,687,1,3000
965,459,1,2600
401,620,1,2700
448,78,2,2500
667,469,1,2400
749,66,1,2700
986,583,1,2800
25,110,5,1800
533,396,1,2700
51,321,3,2100
859,222,1,2800
687,705,3,2200
142,779,1,2900
544,400,16,1500
941,602,1,3000
885,660,15,2100
985,902,1,3100
171,420,3,2500
609,752,1,3000
180,830,10,2100
165,254,1,2600
159,120,3,1700
210,426,6,1600
117,513,9,2100
683,13,1,2300
323,410,1,2300
288,387,9,1800
866,882,2,2400
364,161,7,2000
652,701,1,2400
315,151,1,2300
836,332,4,2100
782,936,2,3100
961,183,1,2500
412,529,1,2600
668,211,1,2300
437,200,1,2400
849,972,3,2900
218,598,2,2300
230,872,2,2500
1,640,1,1700
434,712,2,2100
694,730,2,2200
630,139,1,3200
622,721,1,2800
615,255,15,1900
617,989,1,2900
124,587,1,2700
287,253,1,2500
188,750,2,2000
784,789,1,2400
122,788,2,2800
768,175,1,2800
740,298,2,2200
156,286,26,1700
732,486,6,1800
224,162,2,1800
496,134,2,2400
37,976,1,2600
882,344,2,2500
384,22,2,2400
820,718,2,2400
955,334,1,2900
783,127,1,2600
319,910,1,2600
969,454,1,2800
216,415,1,2300
797,997,1,2200
334,760,2,2000
261,568,1,2900
398,119,1,2700
410,48,2,2600
976,709,1,3300
593,944,1,2900
869,113,1,3000
327,160,1,2300
330,854,2,2500
472,956,4,2000
656,49,1,2500
191,96,1,1700
888,621,3,2400
747,662,1,2600
152,444,4,2300
81,836,1,2900
50,201,1,2100
968,856,8,2700
521,963,1,3100
655,195,5,2000
406,436,2,2400
7,716,1,2100
12,870,6,1600
346,934,2,2200
64,169,1,2000
990,708,6,2000
664,180,4,2300
454,126,2,2100
909,745,1,3600
3,820,1,1800
457,628,1,2200
770,661,1,2900
135,881,1,2900
205,399,1,2700
699,477,3,2300
826,666,2,3300
143,753,1,2800
391,771,1,2600
716,553,1,2900
34,612,34,1500
927,585,9,2100
414,702,18,1600
93,693,3,2800
153,499,1,2500
636,642,6,1800
119,248,1,2300
952,45,1,2500
661,818,1,3300
140,165,5,1900
846,668,2,2200
645,562,1,2600
775,734,1,3000
355,226,1,1900
257,125,1,2200
580,359,1,2100
43,679,1,2300
591,354,3,1900
795,741,3,2500
189,425,1,2300
966,405,3,2200
53,998,1,2800
296,164,4,2300
844,189,1,2800
936,691,1,2800
787,878,1,3000
604,59,1,3000
497,994,497,1000
331,392,1,2700
643,236,1,2000
681,720,3,2400
982,626,2,2700
586,790,2,2800
832,538,2,2600
313,866,1,2300
700,163,1,2800
118,15,1,2400
349,386,1,2700
519,56,1,2400
242,927,1,3100
108,560,4,2500
583,257,1,2100
202,448,2,2700
422,36,2,2200
241,10,1,2200
200,567,1,2500
57,132,3,1900
725,857,1,2500
739,147,1,2600
267,467,1,2000
624,304,16,1700
170,35,5,2400
713,19,1,2400
682,216,2,2800
112,796,4,2400
960,137,1,2400
121,103,1,2500
316,287,1,2700
910,65,65,1600
353,82,1,2400
148,230,2,2500
853,588,1,2900
548,337,1,2300
933,413,1,2800
945,6,3,1800
120,73,1,2400
47,981,1,3100
76,70,2,1800
690,435,15,1600
272,638,2,2400
605,278,1,3200
938,592,2,2500
101,594,1,2900
917,306,1,1900
508,982,2,2700
520,675,5,2300
743,527,1,2400
21,85,1,2300
734,176,2,3300
285,341,1,2700
115,61,1,2100
650,925,25,1600
91,507,13,2300
996,663,3,2300
22,480,2,2800
822,123,3,3000
957,827,1,2800
741,897,39,2300
708,60,12,2500
173,509,1,2400
14,546,14,1500
89,289,1,2400
557,617,1,2700
850,954,2,2800
425,352,1,3200
523,464,1,2700
610,383,1,2500
28,901,1,2400
256,250,2,1600
365,629,1,2100
84,227,1,2000
595,606,1,2400
719,767,1,2100
840,421,1,2200
647,930,1,2600
543,43,1,3000
712,232,8,2300
578,887,1,2600
905,374,1,2600
276,294,6,2000
280,780,20,1600
63,319,1,2400
335,888,1,2700
233,384,1,2700
841,733,1,2600
940,986,2,2300
692,880,4,2400
592,275,1,2800
400,809,1,2700
190,755,5,1800
651,931,7,2100
61,404,1,2700
450,599,1,2100
942,251,1,2700
428,124,4,2100
312,38,2,2300
924,141,3,2900
954,283,1,2400
95,491,1,3200
760,5,5,1500
67,639,1,2900
744,129,3,2200
29,198,1,3000
789,367,1,2600
23,108,1,2200
30,330,30,1400
851,159,1,3000
714,237,3,1800
379,965,1,2700
574,27,1,2500
956,969,1,2400
475,241,1,2000
373,292,1,2200
275,346,1,2600
899,551,29,1500
539,351,1,2700
570,697,1,2800
925,757,1,2500
568,678,2,2700
426,545,1,2200
445,627,1,2700
903,591,3,2900
569,547,1,2700
983,979,1,2000
843,613,1,2100
394,898,2,2500
283,973,1,2900
753,111,3,2700
375,80,5,2400
234,500,2,2600
506,650,2,2600
549,105,3,2600
935,689,1,2700
516,920,4,2400
198,219,3,2100
562,37,1,2500
420,64,4,2400
852,518,2,2500
237,170,1,2500
704,607,1,2600
344,256,8,1800
107,537,1,2300
183,781,1,2500
703,145,1,3600
68,338,2,2500
192,271,1,2500
105,556,1,2500
337,643,1,2900
809,654,1,3500
686,262,2,2100
113,630,1,3200
736,401,1,2900
436,483,1,2300
947,978,1,3400
715,791,1,2800
904,418,2,3200
705,348,3,2000
907,380,1,2000
556,742,2,1900
259,93,1,2400
