Number One,Number Two,Their GCD,Time Spent (nanoseconds)
518,107,1,3500
222,719,1,3100
458,268,2,3500
443,188,1,3100
759,579,3,3800
812,524,4,3700
711,955,1,5100
545,684,1,4400
992,563,1,3200
684,235,1,2700
576,347,1,3300
195,75,15,2300
213,417,3,3200
80,67,1,2300
672,649,1,3200
870,838,2,2200
145,840,5,3000
572,924,44,3700
731,759,1,2700
575,320,5,2800
509,229,1,2700
813,406,1,1600
504,233,1,3000
817,487,1,3800
252,434,14,3300
825,765,15,2300
389,863,1,5000
219,461,1,3000
821,974,1,4600
421,802,1,3800
977,950,1,2700
299,828,23,2600
953,100,1,3100
424,964,4,3300
890,55,5,1800
85,822,1,2900
97,99,1,2200
11,671,11,1600
511,784,7,3500
653,178,1,2400
551,154,1,3700
754,403,13,2900
478,807,1,3900
558,704,2,4800
485,918,1,3100
439,811,1,4100
930,590,10,3500
794,659,1,3600
308,324,4,2300
372,761,1,3200
298,655,1,2900
208,707,1,3200
639,190,1,2700
41,364,1,2700
52,302,2,2800
482,41,1,2600
587,207,1,2600
950,184,2,2300
491,968,1,2900
451,803,11,3600
573,841,1,3100
997,939,1,3200
829,433,1,3900
991,133,1,3700
223,864,1,3000
637,653,1,3100
40,593,1,3400
253,335,1,3500
767,729,1,2700
878,735,1,3100
722,526,2,3200
356,482,2,4300
564,530,2,3200
666,992,2,3200
42,42,42,700
376,743,1,3700
926,202,2,3300
854,942,2,4600
374,525,1,3500
964,806,2,2700
432,52,4,1900
62,616,2,3200
465,191,1,3200
385,914,1,4000
390,450,30,2500
513,798,57,3000
462,457,1,2300
82,130,2,3600
912,907,1,2500
710,249,1,3900
974,428,2,3700
951,242,1,3100
104,860,4,3100
446,121,1,3700
807,33,3,2100
127,186,1,3700
503,775,1,5400
360,362,2,2100
706,651,1,3100
788,416,4,3900
126,349,1,4000
251,646,1,4300
244,604,4,3100
471,315,3,2100
959,636,1,3700
357,817,1,3700
793,331,1,3800
663,926,1,4400
212,900,4,2500
262,886,2,5800
555,548,1,2800
876,681,3,2800
628,379,1,4300
99,519,3,2400
880,928,16,2600
314,644,2,3700
393,32,1,2900
35,837,1,3100
563,58,1,3600
827,600,1,4000
8,847,1,2300
864,533,1,4700
236,494,2,3500
73,921,1,4300
978,419,1,2400
529,94,1,3600
677,952,1,3300
442,382,2,3500
232,288,8,2300
906,510,6,2900
856,279,1,2800
625,904,1,3300
92,398,2,2300
342,970,2,3700
560,376,8,2100
779,696,1,3900
415,218,1,3900
802,574,2,3800
780,431,1,3600
536,603,67,2000
181,204,1,4000
811,234,1,3300
678,783,3,3300
270,153,9,2700
920,873,1,3900
263,764,1,3500
340,479,1,3600
362,975,1,4600
994,520,2,3400
317,728,1,4000
369,462,3,3000
584,252,4,3400
522,871,1,4100
179,402,1,3300
892,656,4,3800
175,475,25,2900
27,357,3,2600
673,504,1,3100
838,555,1,4500
662,948,2,4500
908,231,1,3700
665,571,1,6600
32,993,1,2100
286,795,1,4500
922,369,1,2000
493,472,1,2400
48,508,4,3100
407,672,1,4100
781,908,1,3500
209,95,19,1700
674,83,1,2300
603,116,1,2000
756,915,3,3300
492,564,12,2800
151,544,1,3800
226,265,1,3500
404,20,4,1700
512,365,1,2700
438,634,2,3600
254,495,1,3600
502,51,1,3200
268,777,1,3600
419,208,1,2100
515,217,1,3700
746,622,2,2100
75,314,1,3100
243,786,3,3200
131,117,1,2800
46,478,2,3000
649,984,1,3900
271,89,1,2000
616,959,7,3800
184,804,4,3400
324,146,2,3200
116,687,1,3100
965,459,1,3800
401,620,1,4000
448,78,2,2900
667,469,1,3800
749,66,1,3000
986,583,1,4100
25,110,5,2500
533,396,1,3300
51,321,3,2700
859,222,1,3500
687,705,3,2400
142,779,1,2900
544,400,16,2900
941,602,1,4000
885,660,15,2500
985,902,1,3700
171,420,3,2700
609,752,1,3900
180,830,10,3900
165,254,1,4000
159,120,3,2100
210,426,6,1900
117,513,9,3000
683,13,1,2500
323,410,1,4000
288,387,9,3100
866,882,2,2400
364,161,7,2400
652,701,1,3800
315,151,1,3800
836,332,4,2800
782,936,2,3200
961,183,1,2300
412,529,1,3600
668,211,1,2000
437,200,1,2800
849,972,3,3300
218,598,2,3500
230,872,2,3900
1,640,1,1700
434,712,2,4900
694,730,2,3500
630,139,1,3200
622,721,1,4000
615,255,15,2400
617,989,1,4100
124,587,1,3600
287,253,1,3300
188,750,2,2400
784,789,1,2700
122,788,2,3700
768,175,1,3500
740,298,2,3100
156,286,26,2300
732,486,6,2500
224,162,2,3900
496,134,2,3500
37,976,1,3800
882,344,2,4100
384,22,2,2000
820,718,2,2400
955,334,1,3200
783,127,1,1900
319,910,1,4500
